,parameter_stable_id,external_sample_id,date_of_birth,experiment_source_id,sex,colony_id,download_url,jpeg_url,allele_symbol
0,IMPC_EYE_050_001,K91782,2015-06-30T00:00:00Z,Eye Morphology - K91782 - 525209,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699597,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699597,
0,IMPC_EYE_050_001,K63305,2015-02-03T00:00:00Z,Eye Morphology - K63305 - 393242,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700998,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700998,
0,IMPC_EYE_050_001,K56270,2014-12-23T00:00:00Z,Eye Morphology - K56270 - 369223,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702416,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702416,
0,IMPC_EYE_050_001,K4775,2014-02-17T00:00:00Z,Eye Morphology - K4775 - 203418,female,JR22338,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699958,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699958,Osm<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K22082,2014-06-15T00:00:00Z,Eye Morphology - K22082 - 272967,male,JR18838,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700363,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700363,Dnmt3a<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,J4889,2015-09-26T00:00:00Z,Eye Morphology - J4889 - 647694,male,JR26927,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700956,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700956,Sp5<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K33985,2014-08-29T00:00:00Z,Eye Morphology - K33985 - 309151,female,JR24347,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700408,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700408,Htr1d<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J5692,2015-09-23T00:00:00Z,Eye Morphology - J5692 - 641699,male,JR26615,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701662,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701662,Esrra<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,D38268,2020-08-30T00:00:00Z,Eye Morphology - D38268 - 3011340,female,JR34355,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1184079,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1184079,Actl6b<em1(IMPC)J>
0,IMPC_EYE_050_001,K44276,2014-10-21T00:00:00Z,Eye Morphology - K44276 - 335391,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699929,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699929,
0,IMPC_EYE_050_001,K81262,2015-05-20T00:00:00Z,Eye Morphology - K81262 - 479526,male,JR25380,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701747,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701747,Hsd17b1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K68850,2015-03-07T00:00:00Z,Eye Morphology - K68850 - 419608,female,JR25186,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702460,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702460,Diaph3<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,K19957,2014-06-02T00:00:00Z,Eye Morphology - K19957 - 266380,male,JR23602,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702280,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702280,Zbtb32<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,K54662,2014-12-16T00:00:00Z,Eye Morphology - K54662 - 358371,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700024,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700024,
0,IMPC_EYE_050_001,J25583,2015-12-16T00:00:00Z,Eye Morphology - J25583 - 758540,female,JR26288,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700827,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700827,Cyp2u1<tm1b(EUCOMM)Wtsi>
0,IMPC_EYE_050_001,K93422,2015-07-07T00:00:00Z,Eye Morphology - K93422 - 539136,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699054,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699054,
0,IMPC_EYE_050_001,J7794,2015-10-06T00:00:00Z,Eye Morphology - J7794 - 657257,male,JR25392,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702337,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702337,Phkg2<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K20829,2014-06-09T00:00:00Z,Eye Morphology - K20829 - 275169,female,JR21511,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700204,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700204,Rnf10<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,J29686,2016-01-13T00:00:00Z,Eye Morphology - J29686 - 785131,female,JR26719,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699242,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699242,Syce1<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K31035,2014-08-12T00:00:00Z,Eye Morphology - K31035 - 297148,male,JR24185,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699425,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699425,Nes<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,D44406,2020-10-14T00:00:00Z,Eye Morphology - D44406 - 3066403,female,JR33925,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1279627,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1279627,Wdr78<em1(IMPC)J>
0,IMPC_EYE_050_001,J16838,2015-11-05T00:00:00Z,Eye Morphology - J16838 - 691522,female,JR26616,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700529,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700529,Adgrb2<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,K81239,2015-05-10T00:00:00Z,Eye Morphology - K81239 - 479605,male,JR25380,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700837,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700837,Hsd17b1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J27263,2016-01-02T00:00:00Z,Eye Morphology - J27263 - 777332,female,JR26630,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699920,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699920,Ovch2<tm1b(KOMP)Mbp>
0,IMPC_EYE_050_001,J23974,2015-12-01T00:00:00Z,Eye Morphology - J23974 - 729499,male,JR25734,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700424,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700424,Mpdz<em1(IMPC)J>
0,IMPC_EYE_050_001,C10063,2013-11-03T00:00:00Z,Eye Morphology - C10063 - 150704,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699231,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699231,
0,IMPC_EYE_050_001,K77282,2015-04-28T00:00:00Z,Eye Morphology - K77282 - 444890,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700710,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700710,
0,IMPC_EYE_050_001,J42480,2016-03-15T00:00:00Z,Eye Morphology - J42480 - 864558,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699782,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699782,
0,IMPC_EYE_050_001,J1071,2015-09-10T00:00:00Z,Eye Morphology - J1071 - 620798,male,JR26920,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702106,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702106,Sfxn4<tm1b(KOMP)Wtsi>
0,IMPC_EYE_050_001,K81880,2015-05-05T00:00:00Z,Eye Morphology - K81880 - 468661,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699155,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699155,
0,IMPC_EYE_050_001,J4295,2015-09-11T00:00:00Z,Eye Morphology - J4295 - 618893,female,JR24515,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701881,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701881,Bex4<tm1.1(KOMP)Vlcg>
